Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Andile Jali,118538,€200k,"May 28, 2025","Apr 10, 1990",35,1.75,South Africa,South Africa,Defensive Midfield,Central Midfield,Without Club,Chippa United,"Jul 1, 2025",,,2017-2018
Gaëtan Coucke,338651,€2.00m,"May 27, 2025","Nov 3, 1998",26,1.87,Belgium,,Goalkeeper,,Without Club,Al-Orobah,"Jul 1, 2025",,,2017-2018
Pylyp Budkivskyi,99863,€350k,"Jun 10, 2025","Mar 10, 1992",33,1.96,Ukraine,,Centre-Forward,,Zorya Lugansk,,,"Aug 23, 2024","Jun 30, 2026",2017-2018
Kafoumba Touré,335841,,,"Jan 1, 1994",31,1.83,Mali,"Mali, Cote d'Ivoire",Centre-Forward,,FC Lunéville,,,-,-,2017-2018
Damien Mouchamps,370520,€200k,"Apr 24, 2025","Jan 10, 1996",29,1.72,Belgium,Belgium,Right Winger,Left Winger,RFC Lüttich,,,"Jul 1, 2018","Jun 30, 2027",2017-2018
Jonathan Buatu,137313,€600k,"May 30, 2025","Sep 27, 1993",31,1.87,Angola,,Centre-Back,,Gil Vicente,,,"Jan 25, 2024","Jun 30, 2026",2017-2018
Dennis Appiah,111038,€800k,"Jun 3, 2025","Jun 9, 1992",33,1.79,France,,Right-Back,,Saint-Étienne,,,"Jan 3, 2023","Jun 30, 2026",2017-2018
Mario Ticinovic,66638,€150k,"Jun 4, 2025","Aug 20, 1991",33,1.72,Croatia,Croatia,Right-Back,"Right Winger, Left-Back",Without Club,Zrinjski Mostar,"Jul 1, 2025",,,2017-2018
Jakub Brabec,112948,€1.00m,"May 23, 2025","Aug 6, 1992",32,1.86,Czech Republic,"CSSR, Czech Republic",Centre-Back,,Aris Saloniki,,,"Aug 31, 2021","Jun 30, 2026",2017-2018
Cherif Ndiaye,480705,€5.00m,"Jun 12, 2025","Jan 23, 1996",29,1.9,Senegal,Senegal,Centre-Forward,"Left Winger, Attacking Midfield",Red Star,,,"Sep 4, 2023","Jun 30, 2026",2017-2018
Igor Vetokele,101201,,,"Mar 23, 1992",33,1.73,Angola,"Angola, Belgium",Centre-Forward,"Second Striker, Left Winger",Retired,Lommel SK,"Jul 1, 2025",,,2017-2018
Edon Zhegrova,496857,€25.00m,"Jun 3, 2025","Mar 31, 1999",26,1.8,Kosovo,,Right Winger,,LOSC Lille,,,"Jan 14, 2022","Jun 30, 2026",2017-2018
Sinan Bolat,33862,€150k,"Jun 18, 2025","Sep 3, 1988",36,1.86,Türkiye,,Goalkeeper,,KVC Westerlo,,,"Jul 1, 2022","Jun 30, 2026",2017-2018
Remi Mulumba,146099,€200k,"Jun 25, 2025","Nov 2, 1992",32,1.78,DR Congo,,Defensive Midfield,,Bandirmaspor,,,"Jul 14, 2021","Jun 30, 2028",2017-2018
Abdul Nurudeen,511168,€200k,"Apr 24, 2025","Feb 8, 1999",26,1.89,Ghana,"Belgium, Ghana",Goalkeeper,,KAS Eupen,,,"Jul 1, 2017","Jun 30, 2026",2017-2018
Enes Saglik,120306,,,"Jul 8, 1991",34,1.7,Belgium,"Türkiye, Belgium",Central Midfield,"Attacking Midfield, Defensive Midfield",RFC Tournai,,,"Jan 31, 2025","Jun 30, 2025",2017-2018
Sergio Ayala,166607,,,"Mar 19, 1993",32,1.84,Spain,Spain,Centre-Back,,CF Badalona,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Danny Vukovic,43113,,,"Mar 27, 1985",40,1.87,Australia,"Serbia, Australia",Goalkeeper,,Retired,Central Coast,"Jul 1, 2024",,,2017-2018
Obbi Oulare,314959,€150k,"Apr 4, 2025","Jan 8, 1996",29,1.96,Belgium,,Centre-Forward,,Without Club,KSK Lierse Kem.,"Feb 4, 2025",,,2017-2018
Sofiane Hanni,113358,€1.00m,"May 28, 2025","Dec 29, 1990",34,1.78,Algeria,,Attacking Midfield,,Al-Khor SC,,,"Sep 18, 2023","Jun 30, 2025",2017-2018
Mike Vanhamel,42178,,,"Nov 16, 1989",35,1.89,Belgium,,Goalkeeper,,Without Club,KVK Tienen,"Jul 1, 2025",,,2017-2018
Mërgim Vojvoda,336125,€3.00m,"Jun 17, 2025","Feb 1, 1995",30,1.87,Kosovo,,Right-Back,,Como,,,"Feb 3, 2025","Jun 30, 2028",2017-2018
Kurt Abrahams,490325,€250k,"Apr 24, 2025","Dec 30, 1996",28,1.72,South Africa,,Right Winger,,SK Beveren,,,"Dec 21, 2024","Jun 30, 2026",2017-2018
Cristian Ceballos,166640,,,"Dec 3, 1992",32,1.73,Spain,,Attacking Midfield,,Retired,Sabah FK,"Jul 1, 2024",,,2017-2018
Jean Alassane Mendy,183744,,,"Feb 2, 1990",35,1.8,Norway,,Centre-Forward,,Loudéac,,,"Oct 16, 2020",-,2017-2018
Steve Colpaert,20296,,,"Sep 13, 1986",38,1.77,Belgium,,Centre-Back,,Retired,Eendracht Aalst,"Jul 1, 2021",,,2017-2018
Damien Dussaut,205533,€250k,"Jun 10, 2025","Nov 8, 1994",30,1.82,Martinique,"France, Martinique",Right-Back,"Right Midfield, Left-Back",Without Club,UTA Arad,"Jul 1, 2025",,,2017-2018
Siebe Van der Heyden,400131,€2.50m,"Jun 5, 2025","May 30, 1998",27,1.85,Belgium,,Centre-Back,,RCD Mallorca,,,"Jul 18, 2023","Jun 30, 2028",2017-2018
Pieter Gerkens,183383,€700k,"Jun 12, 2025","Feb 17, 1995",30,1.79,Belgium,Belgium,Attacking Midfield,Central Midfield,Cercle Brugge,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Idir Ouali,46716,,,"May 21, 1988",37,1.76,Algeria,"France, Algeria",Left Winger,"Right Winger, Right-Back",Mouscron,,,"Aug 29, 2023",-,2017-2018
Răzvan Marin,295183,€3.50m,"Jun 17, 2025","May 23, 1996",29,1.78,Romania,Romania,Defensive Midfield,"Attacking Midfield, Central Midfield",Cagliari,,,"Jul 1, 2021","Jun 30, 2026",2017-2018
Hervé Kage,42731,,,"Apr 10, 1989",36,1.78,DR Congo,,Left Winger,,Stade Everois,,,"Sep 1, 2024",-,2017-2018
Assim Madibo,336667,€275k,"May 28, 2025","Oct 22, 1996",28,1.68,Qatar,,Defensive Midfield,,Al-Gharafa,,,"Jul 11, 2024","Jun 30, 2026",2017-2018
Aboubakary Koita,422377,€4.50m,"May 23, 2025","Sep 20, 1998",26,1.75,Mauritania,"Senegal, Belgium, Mauritania",Left Winger,Left Midfield,AEK Athens,,,"Jul 13, 2024","Jun 30, 2029",2017-2018
Thomas Buffel,4377,,,"Feb 19, 1981",44,1.75,Belgium,,Right Winger,,Retired,Zulte Waregem,"Jul 1, 2019",,,2017-2018
Rachid Aït-Atmane,246877,€125k,"Jun 6, 2025","Feb 4, 1993",32,1.9,Algeria,"France, Algeria",Central Midfield,"Defensive Midfield, Attacking Midfield",Saham Club,,,"Jan 21, 2025","Jun 30, 2025",2017-2018
Zeljko Filipovic,96267,,,"Oct 3, 1988",36,1.94,Slovenia,,Defensive Midfield,,Retired,Vojvodina,"Jan 1, 2020",,,2017-2018
Sotiris Ninis,46062,€50k,"Apr 4, 2025","Apr 3, 1990",35,1.73,Greece,"Greece, Albania",Attacking Midfield,"Central Midfield, Right Winger",Without Club,AE Kifisias,"Jul 1, 2024",,,2017-2018
Frédéric Duplus,77829,,,"Apr 7, 1990",35,1.78,France,,Right-Back,,Retired,SL16 FC,"Aug 29, 2023",,,2017-2018
Lovre Kalinic,46405,€100k,"Jun 9, 2025","Apr 3, 1990",35,2.01,Croatia,,Goalkeeper,,Without Club,Hajduk Split,"Jul 1, 2025",,,2017-2018
Kaveh Rezaei,132553,€350k,"May 16, 2025","Apr 5, 1992",33,1.85,Iran,,Centre-Forward,,Sepahan,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Bo Geens,259932,,,"Aug 10, 1995",29,1.85,Belgium,,Goalkeeper,,City Pirates,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Lazar Markovic,144303,€1.20m,"May 29, 2025","Mar 2, 1994",31,1.75,Serbia,"Serbia, Yugoslavia (Republic)",Right Winger,"Left Winger, Second Striker",Without Club,FC Baniyas,"Jul 1, 2025",,,2017-2018
Charilaos Charisis,257482,€700k,"Jun 18, 2025","Jan 12, 1995",30,1.77,Greece,,Central Midfield,,Sivasspor,,,"Aug 15, 2022","Jun 30, 2028",2017-2018
Frank Boya,473201,€1.00m,"May 26, 2025","Jul 1, 1996",29,1.95,Belgium,"Belgium, Cameroon",Defensive Midfield,"Centre-Back, Central Midfield",Club Tijuana,,,"Feb 3, 2025","Jun 30, 2027",2017-2018
Laurens De Bock,110668,,,"Nov 7, 1992",32,1.79,Belgium,Belgium,Left-Back,Centre-Back,KFC HO Kalken,,,"Jan 10, 2025","Jun 30, 2026",2017-2018
Faris Haroun,16617,,,"Sep 22, 1985",39,1.87,Belgium,"Belgium, Chad",Central Midfield,"Defensive Midfield, Attacking Midfield",Retired,Royal Antwerp,"Jul 1, 2023",,,2017-2018
Ivan Tomecak,49985,€150k,"Jun 27, 2025","Dec 7, 1989",35,1.75,Croatia,,Right-Back,,NK Rudes,,,"Sep 3, 2024","Jun 1, 2025",2017-2018
Sander Coopman,279254,€200k,"Apr 24, 2025","Mar 12, 1995",30,1.83,Belgium,,Central Midfield,,B. Banja Luka,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Mohamed Aidara,92944,,,"Dec 24, 1989",35,1.71,Senegal,,Defensive Midfield,,Heidelberg Utd.,,,"Jun 23, 2023",-,2017-2018
Paolo Sabak,338669,,,"Feb 10, 1999",26,1.76,Belgium,,Attacking Midfield,,KFC Putte,,,"Jul 1, 2024",-,2017-2018
Babacar Gueye,342364,,,"Dec 31, 1994",30,1.93,Senegal,Senegal,Centre-Forward,Second Striker,Without Club,Ohod Club,"Jul 1, 2023",,,2017-2018
Siebe Schrijvers,208552,€1.50m,"Jun 12, 2025","Jul 18, 1996",28,1.79,Belgium,,Central Midfield,,OH Leuven,,,"Jan 15, 2021","Jun 30, 2027",2017-2018
Omar Govea,282927,€1.50m,"May 26, 2025","Jan 18, 1996",29,1.76,Mexico,,Defensive Midfield,,Chivas,,,"Jul 1, 2024","Jun 30, 2027",2017-2018
Yoan Severin,340065,€1.20m,"Jun 10, 2025","Jan 24, 1997",28,1.86,France,France,Centre-Back,Left-Back,Servette FC,,,"Jul 17, 2018","Jun 30, 2028",2017-2018
Steeven Willems,203539,,,"Aug 31, 1990",34,1.84,France,France,Centre-Back,Left-Back,Retired,R Charleroi SC,"Mar 1, 2022",,,2017-2018
Thomas De Bie,331553,,,"Jan 29, 1997",28,1.82,Belgium,Belgium,Goalkeeper,,Tubize-Braine,,,"Aug 1, 2019","Jun 30, 2025",2017-2018
Massimo Bruno,111376,€300k,"Jun 12, 2025","Sep 17, 1993",31,1.78,Belgium,,Right Winger,,Without Club,KV Kortrijk,"Jul 1, 2025",,,2017-2018
Jelle Van Damme,4323,,,"Oct 10, 1983",41,,Belgium,Belgium,Centre-Back,"Left-Back, Defensive Midfield",Retired,KSC Lokeren,"Feb 12, 2021",,,2017-2018
Guillaume Hubert,129585,€250k,"Apr 24, 2025","Jan 11, 1994",31,1.98,Belgium,,Goalkeeper,,RWDM Brussels,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Sébastien Pocognoli,17804,,,"Aug 1, 1987",37,1.81,Belgium,"Italy, Belgium",Left-Back,,Retired,Union SG,"Jul 1, 2021",,,2017-2018
Sander De Prycker,498927,,,"Feb 16, 1998",27,,Belgium,Belgium,Centre-Back,,HRS Haasdonk,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Andy Kawaya,203342,,,"Aug 23, 1996",28,1.74,Belgium,,Left Winger,,Retired,CyD Leonesa,"Jan 25, 2024",,,2017-2018
Amara Baby,108587,,,"Feb 23, 1989",36,1.83,Senegal,"France, Senegal",Left Winger,"Left Midfield, Right Winger",Retired,KAS Eupen,"Jul 1, 2021",,,2017-2018
Elohim Rolland,351837,,,"Mar 3, 1989",36,1.84,France,"France, Algeria",Defensive Midfield,"Central Midfield, Attacking Midfield",Unknown,FC Bondues,"Jul 1, 2023",,,2017-2018
Saulo Decarli,154578,€100k,"Jun 10, 2025","Feb 4, 1992",33,1.88,Switzerland,,Centre-Back,,Grasshoppers,,,"Jul 1, 2024","Jun 30, 2027",2017-2018
Lomalisa Mutambala,319700,,,"Jun 18, 1993",32,1.75,DR Congo,DR Congo,Left-Back,,Kabuscorp SC,,,"Jul 1, 2025",-,2017-2018
Alexander Scholz,153582,€1.50m,"May 28, 2025","Oct 24, 1992",32,1.89,Denmark,,Centre-Back,,FC Tokyo,,,"Jun 11, 2025",-,2017-2018
Aliko Bala,381360,,,"Feb 27, 1997",28,1.8,Nigeria,Nigeria,Centre-Forward,"Left Winger, Right Winger",Al-Ettihad Club,,,"Aug 1, 2024",-,2017-2018
Alessandro Cerigioni,133480,,,"Sep 30, 1992",32,1.82,Belgium,"Italy, Belgium",Centre-Forward,"Right Winger, Second Striker",Weerst. Koersel,,,"Jul 1, 2023",-,2017-2018
Nathan de Medina,285951,€100k,"Jun 12, 2025","Oct 8, 1997",27,1.83,Belgium,,Centre-Back,,Without Club,Partizan,"Jul 1, 2025",,,2017-2018
Anthony Van Loo,49641,,,"Oct 5, 1988",36,1.76,Belgium,,Right-Back,,Retired,KV Kortrijk,"Nov 12, 2018",,,2017-2018
Davy De fauw,19312,,,"Jul 8, 1981",44,1.85,Belgium,,Right-Back,,Retired,Zulte Waregem,"Jul 1, 2020",,,2017-2018
Jorge Teixeira,59791,,,"Aug 27, 1986",38,1.88,Portugal,,Centre-Back,,Belenenses,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
José Francisco Cevallos Jr.,129725,€500k,"Jun 16, 2025","Jan 18, 1995",30,1.86,Ecuador,,Attacking Midfield,,CS Emelec,,,"Jun 7, 2025",-,2017-2018
Grigoris Kastanos,298635,€1.50m,"Jun 17, 2025","Jan 30, 1998",27,1.79,Cyprus,,Attacking Midfield,,Hellas Verona,,,"Jul 1, 2025","Jun 30, 2027",2017-2018
Steven De Petter,41100,,,"Nov 22, 1985",39,1.81,Belgium,,Defensive Midfield,,Retired,Sint-Truiden,"Jul 1, 2020",,,2017-2018
Clément Tainmont,102679,,,"Feb 13, 1986",39,1.85,France,,Left Winger,,Retired,Francs Borains,"Jul 1, 2024",,,2017-2018
Mamoutou N'Diaye,94298,,,"Mar 15, 1990",35,1.8,Mali,,Central Midfield,,FC Edeboys,,,-,-,2017-2018
Jérémy Huyghebaert,55616,,,"Jan 7, 1989",36,1.8,Belgium,,Left-Back,,Retired,Mouscron,"Jul 1, 2025",,,2017-2018
Sander Berge,333014,€25.00m,"May 30, 2025","Feb 14, 1998",27,1.95,Norway,,Defensive Midfield,,Fulham,,,"Aug 22, 2024","Jun 30, 2029",2017-2018
Jari De Roover,553075,,,"May 12, 1998",27,,Belgium,Belgium,Defender,,KSK Ardennen,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Victorien Angban,178314,€400k,"Jun 4, 2025","Sep 29, 1996",28,1.8,Cote d'Ivoire,,Central Midfield,,FK Sochi,,,"Jul 3, 2021","Jun 30, 2026",2017-2018
Núrio Fortuna,290261,€600k,"Jun 2, 2025","Mar 24, 1995",30,1.77,Angola,,Left-Back,,Volos NPS,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
David Rozehnal,9659,,,"Jul 5, 1980",45,1.91,Czech Republic,"CSSR, Czech Republic",Centre-Back,Defensive Midfield,Kozusany,,,"Apr 4, 2018",-,2017-2018
Holly Tshimanga,249566,,,"Apr 25, 1997",28,,Belgium,,Left Winger,,SK Londerzeel,,,"Jul 1, 2024","Jun 30, 2026",2017-2018
Jonathan Bolingi,315337,€50k,"Jun 12, 2025","Jun 30, 1994",31,1.9,DR Congo,"Zaire, DR Congo",Centre-Forward,"Left Winger, Right Winger",Without Club,Vojvodina,"Jul 1, 2025",,,2017-2018
Steve De Ridder,41818,,,"Feb 25, 1987",38,1.78,Belgium,,Central Midfield,,Without Club,KMSK Deinze,"Dec 18, 2024",,,2017-2018
Roman Bezus,97567,€150k,"May 29, 2025","Sep 26, 1990",34,1.85,Ukraine,"Ukraine, UdSSR",Attacking Midfield,"Second Striker, Central Midfield",Without Club,Omonia Nicosia,"Jul 1, 2025",,,2017-2018
Siebe Blondelle,33707,,,"Apr 20, 1986",39,1.85,Belgium,Belgium,Centre-Back,"Left-Back, Defensive Midfield",Retired,KMSK Deinze,"Jul 1, 2023",,,2017-2018
Peter Olayinka,248393,€4.00m,"Jun 12, 2025","Nov 16, 1995",29,1.88,Nigeria,Nigeria,Left Winger,"Centre-Forward, Right Winger",Red Star,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Sibert Himpe,381962,,,"Feb 24, 1999",26,1.68,Belgium,Belgium,Defensive Midfield,Central Midfield,Mandel United,,,"Jul 1, 2023","Jun 30, 2026",2017-2018
Michiel Jonckheere,150711,,,"Jan 3, 1990",35,1.8,Belgium,Belgium,Central Midfield,"Attacking Midfield, Left Winger",Retired,KSV Bredene,"Jul 1, 2023",,,2017-2018
Joseph Akpala,38000,,,"Aug 24, 1986",38,1.84,Nigeria,"Nigeria, Belgium",Centre-Forward,,Retired,FC Dinamo,"Jul 1, 2021",,,2017-2018
Nicolas Verdier,216548,,,"Jan 17, 1987",38,1.87,France,,Centre-Forward,,Retired,Cannes,"Jul 1, 2021",,,2017-2018
Logan Bailly,13021,,,"Dec 27, 1985",39,1.89,Belgium,Belgium,Goalkeeper,,RCS Verlaine,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Uche Agbo,262689,€250k,"Jun 17, 2025","Dec 4, 1995",29,1.86,Nigeria,,Defensive Midfield,,Aktobe,,,"Feb 10, 2024","Dec 31, 2025",2017-2018
Ibrahima Seck,209933,,,"Aug 10, 1989",35,1.94,Senegal,,Defensive Midfield,,Without Club,US Créteil-L,"Jul 1, 2025",,,2017-2018
Lukas Van Eenoo,90478,€250k,"Apr 24, 2025","Feb 6, 1991",34,1.75,Belgium,Belgium,Central Midfield,"Defensive Midfield, Left Midfield",Patro Eisden,,,"Jan 15, 2024","Jun 30, 2026",2017-2018
Athanasios Papazoglou,42938,,,"Mar 30, 1988",37,1.95,Greece,,Centre-Forward,,Without Club,Thermaikos,"Jul 1, 2024",,,2017-2018
Danijel Milicevic,33343,,,"Jan 5, 1986",39,1.71,Bosnia-Herzegovina,"Switzerland, Bosnia-Herzegovina",Attacking Midfield,"Right Midfield, Left Midfield",Retired,RFC Seraing,"Jul 1, 2021",,,2017-2018
Joseph Aidoo,358250,€1.20m,"Jun 9, 2025","Sep 29, 1995",29,1.81,Ghana,,Centre-Back,,Celta de Vigo,,,"Jul 11, 2019","Jun 30, 2026",2017-2018
Yegor Nazaryna,430190,€1.00m,"Jun 10, 2025","Jul 10, 1997",28,1.83,Ukraine,,Central Midfield,,Shakhtar D.,,,"Sep 22, 2022","Jun 30, 2027",2017-2018
Robin Söder,77314,,,"Apr 1, 1991",34,1.77,Sweden,,Centre-Forward,,Retired,IFK Göteborg,"Jan 1, 2022",,,2017-2018
Kristof D'Haene,156496,,,"Jun 6, 1990",35,1.68,Belgium,Belgium,Left-Back,"Left Winger, Left Midfield",Retired,SK Roeselare,"Oct 7, 2023",,,2017-2018
Dorin Rotariu,250573,€300k,"Jun 25, 2025","Jul 29, 1995",29,1.8,Romania,Romania,Right Winger,"Left Winger, Attacking Midfield",Igdir FK,,,"Jul 15, 2025","Jun 30, 2026",2017-2018
Silas Gnaka,481091,€1.50m,"Jun 19, 2025","Dec 18, 1998",26,1.79,Cote d'Ivoire,"Belgium, Cote d'Ivoire",Defensive Midfield,"Central Midfield, Centre-Back",1.FC Magdeburg,,,"Jul 1, 2022","Jun 30, 2026",2017-2018
Stelios Kitsiou,189151,€400k,"Jun 25, 2025","Sep 28, 1993",31,1.75,Greece,,Right-Back,,Pendikspor,,,"Feb 11, 2025","Jun 30, 2026",2017-2018
Frank Boeckx,13271,,,"Sep 27, 1986",38,1.83,Belgium,,Goalkeeper,,Retired,RSC Anderlecht,"Jul 1, 2020",,,2017-2018
Jur Schryvers,250574,,,"Mar 11, 1997",28,1.81,Belgium,,Defensive Midfield,,Royal Cappellen,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Georgios Galitsios,29894,,,"Jul 6, 1986",39,1.83,Greece,"Greece, Belgium",Right-Back,"Centre-Back, Left-Back",Retired,Panionios,"Jul 1, 2022",,,2017-2018
Edmílson Junior,237846,€2.50m,"May 28, 2025","Aug 19, 1994",30,1.8,Qatar,,Left Winger,,Al-Duhail SC,,,"Aug 2, 2018",-,2017-2018
Fabien Camus,22377,,,"Feb 28, 1985",40,1.76,Tunisia,"Tunisia, France",Attacking Midfield,"Right Winger, Left Winger",Retired,UMS Montélimar,"Jul 1, 2019",,,2017-2018
Parfait Mandanda,86055,,,"Nov 10, 1989",35,1.82,DR Congo,"France, DR Congo",Goalkeeper,,SM Caen B,,,"Aug 1, 2023","Jun 30, 2026",2017-2018
Mijat Maric,6666,,,"Apr 30, 1984",41,1.88,Switzerland,,Centre-Back,,Retired,FC Lugano,"Jul 1, 2022",,,2017-2018
Siebe Horemans,314915,€3.50m,"May 28, 2025","Jun 2, 1998",27,1.86,Belgium,Belgium,Right-Back,Centre-Back,FC Utrecht,,,"Jul 1, 2024","Jun 30, 2027",2017-2018
Mario Jelavic,191902,,,"Aug 20, 1993",31,1.89,Croatia,,Centre-Forward,,Croat. Zmijavci,,,"Feb 14, 2025",-,2017-2018
José Naranjo,272679,€400k,"Apr 4, 2025","Jul 28, 1994",30,1.87,Spain,Spain,Left Winger,"Centre-Forward, Right Winger",Without Club,UD Ibiza,"Jan 17, 2025",,,2017-2018
Enzo D'Alberto,289528,,,"Jul 20, 1996",28,,Belgium,,Goalkeeper,,Stade Everois,,,"Jul 1, 2024","Jun 30, 2025",2017-2018
Moustapha Sall,43886,,,"Nov 30, 1985",39,1.93,Senegal,,Centre-Back,,Retired,Teungueth FC,"Jan 1, 2021",,,2017-2018
Yusuf Lawal,534528,€250k,"Jun 9, 2025","Mar 23, 1998",27,1.75,Nigeria,Nigeria,Left Winger,"Right Winger, Left Midfield",Without Club,Zira FC,"Jul 15, 2025",,,2017-2018
Moussa Wagué,364240,€500k,"May 23, 2025","Oct 4, 1998",26,1.77,Senegal,,Right-Back,,Panserraikos,,,"Sep 11, 2024","Jun 30, 2026",2017-2018
Pius Borel Palm,584377,,,"Apr 12, 1999",26,,Belgium,Belgium,Centre-Back,,FC Richelle,,,"Jul 1, 2024","Jun 30, 2025",2017-2018
Guillermo Ochoa,29559,€500k,"May 30, 2025","Jul 13, 1985",40,1.85,Mexico,"Spain, Mexico",Goalkeeper,,Without Club,Avs FS,"Jul 1, 2025",,,2017-2018
Nicolas Rajsel,164939,€75k,"Jun 6, 2025","May 31, 1993",32,1.8,Slovenia,,Left Winger,,Tubize-Braine,,,"Jul 1, 2025","Jun 30, 2026",2017-2018
Marco Ilaimaharitra,205550,€800k,"Jun 12, 2025","Jul 26, 1995",29,1.78,Madagascar,,Defensive Midfield,,Standard Liège,,,"Jul 1, 2025","Jun 30, 2027",2017-2018
Ian Opdenakker,549844,,,"Sep 11, 1999",25,1.78,Belgium,Belgium,Defensive Midfield,"Central Midfield, Centre-Back",Retired,VV Stokkem,"Oct 21, 2024",,,2017-2018
Moussa Djenepo,485424,€2.00m,"Jun 18, 2025","Jun 15, 1998",27,1.77,Mali,Mali,Left Winger,"Right Winger, Attacking Midfield",Standard Liège,,,"Sep 5, 2023","Jun 30, 2026",2017-2018
Samuel Asamoah,232848,€150k,"Jun 23, 2025","Mar 23, 1994",31,1.66,Togo,,Defensive Midfield,,GX Pingguo,,,"Feb 13, 2025",-,2017-2018
Joachim Imbrechts,502261,€200k,"Jun 12, 2025","Oct 9, 2001",23,1.83,Sweden,,Goalkeeper,,Without Club,Union SG,"Jul 1, 2025",,,2017-2018
Gertjan De Mets,42704,,,"Apr 2, 1987",38,1.76,Belgium,Belgium,Defensive Midfield,"Right-Back, Right Midfield",Retired,Zulte Waregem,"Jul 1, 2019",,,2017-2018
Lorenzo Matarrese,340337,,,"Feb 1, 1997",28,1.86,Belgium,"Italy, Belgium",Centre-Back,Defensive Midfield,KVK Ninove,,,"Aug 15, 2023","Jun 30, 2026",2017-2018
Christian Luyindama,262793,€100k,"Apr 4, 2025","Jan 8, 1994",31,1.91,DR Congo,"Zaire, DR Congo",Centre-Back,Defensive Midfield,Without Club,Galatasaray,"Jan 1, 2024",,,2017-2018
Cyriac,77449,,,"Aug 15, 1990",34,1.73,Cote d'Ivoire,"Belgium, Cote d'Ivoire",Left Winger,"Centre-Forward, Second Striker",Retired,Sivasspor,"Jan 31, 2022",,,2017-2018
Thomas Demol,509124,,,"May 11, 1998",27,,Belgium,Belgium,Midfield,,FC Flénu,,,"Jul 1, 2020","Jun 30, 2026",2017-2018
Jordi Vanlerberghe,235275,€2.00m,"Jun 16, 2025","Jun 27, 1996",29,1.89,Belgium,,Centre-Back,,Bröndby IF,,,"Jan 29, 2024","Jun 30, 2027",2017-2018
Helibelton Palacios,211389,€550k,"Jun 20, 2025","Jun 11, 1993",32,1.81,Colombia,,Right-Back,,Millonarios,,,"Feb 7, 2025","Dec 31, 2025",2017-2018
Sambou Yatabaré,93309,,,"Mar 2, 1989",36,1.9,Mali,,Central Midfield,,US Chantilly,,,"Jul 1, 2025",-,2017-2018
Denzel Budde,410743,,,"Apr 8, 1997",28,,Netherlands,Netherlands,Right-Back,Centre-Back,VV Unicum,,,"Jul 1, 2021",-,2017-2018
William Dutoit,156384,€50k,"Apr 4, 2025","Sep 18, 1988",36,1.82,France,,Goalkeeper,,Without Club,KMSK Deinze,"Dec 18, 2024",,,2017-2018
Alexandru Chipciu,64126,€350k,"Jun 10, 2025","May 18, 1989",36,1.76,Romania,,Left-Back,,U Cluj,,,"Jul 1, 2022","Jun 30, 2026",2017-2018
Niels Verburgh,340178,,,"Jan 31, 1998",27,1.88,Belgium,,Central Midfield,,Sport. Hasselt,,,"Feb 1, 2024","Jun 30, 2028",2017-2018
Andy Nájar,145838,€400k,"Jun 5, 2025","Mar 16, 1993",32,1.71,Honduras,,Right-Back,,Nashville,,,"Jan 31, 2025","Dec 31, 2025",2017-2018
Timothy Derijck,31131,,,"May 25, 1987",38,1.85,Belgium,,Centre-Back,,Retired,ADO Den Haag,"Jul 1, 2024",,,2017-2018
Rocky Bushiri,511802,€900k,"Jun 17, 2025","Nov 30, 1999",25,1.87,DR Congo,"DR Congo, Belgium",Centre-Back,,Hibernian FC,,,"Jul 1, 2022","May 31, 2028",2017-2018
Brecht Capon,42703,,,"Apr 22, 1988",37,1.79,Belgium,Belgium,Right-Back,"Centre-Back, Right Winger",Retired,KV Oostende,"Jul 1, 2023",,,2017-2018
Lukasz Teodorczyk,157849,,,"Jun 3, 1991",34,1.88,Poland,,Centre-Forward,,Retired,LR Vicenza,"Jul 1, 2022",,,2017-2018
Daam Foulon,338637,€2.50m,"Jun 12, 2025","Mar 23, 1999",26,1.8,Belgium,Belgium,Left-Back,Left Midfield,Royal Antwerp,,,"Jul 1, 2025","Jun 30, 2028",2017-2018
Leander Dendoncker,168157,€4.50m,"Jun 12, 2025","Apr 15, 1995",30,1.88,Belgium,Belgium,Defensive Midfield,"Central Midfield, Centre-Back",Aston Villa,,,"Sep 1, 2022","Jun 30, 2026",2017-2018
Lucas Pirard,168166,€250k,"Jun 12, 2025","Mar 10, 1995",30,1.91,Belgium,,Goalkeeper,,Standard Liège,,,"Jul 1, 2025","Jun 30, 2028",2017-2018
